问题,答案
人民代表大会制度是我国的根本政治制度。,正确
中国共产党领导的多党合作和政治协商制度是我国的一项基本政治制度。,正确
民族区域自治制度是我国的一项基本政治制度。,正确
基层群众自治制度是我国的一项基本政治制度。,正确
社会主义制度是我国的根本制度。,正确
我国的国家性质是工人阶级领导的、以工农联盟为基础的人民民主专政的社会主义国家。,正确
社会主义制度是我国的基本经济制度。,错误
我国的最高国家权力机关是全国人民代表大会。,正确
我国的根本任务是沿着中国特色社会主义道路，集中力量进行社会主义现代化建设。,正确
宪法规定的公民基本权利和自由都是绝对的，不受任何限制。,错误
人民代表大会制度实行民主集中制的组织和活动原则，即少数服从多数。,错误
在我国，任何公民都享有宪法和法律规定的权利，同时必须履行宪法和法律规定的义务。,正确
公民的基本权利和自由是宪法和法律规定的，公民可以随意行使。,错误
宗教信仰自由是我国公民的一项基本权利，任何国家机关、社会团体和个人不得强制公民信仰宗教或者不信仰宗教。,正确
我国的政党制度是中国共产党领导的多党合作和政治协商制度。,正确
人民代表大会制度实行民主集中制的组织和活动原则。,正确
我国实行宗教信仰自由政策，但国家保护正常的宗教活动。,正确
中华人民共和国的一切权力属于人民。,正确
我国的国家结构形式是单一制。,正确
社会主义公有制是我国经济制度的基础。,正确
我国的最高国家行政机关是全国人民代表大会。,错误
宪法是国家的根本法，具有最高的法律效力。,正确
中华人民共和国的武装力量属于人民。,正确
公民在行使自由和权利的时候，不得损害国家的、社会的、集体的利益和其他公民的合法的自由和权利。,正确
宗教信仰自由意味着公民可以在任何场合宣传宗教思想和开展宗教活动。,错误
我国实行计划生育的基本国策，即一对夫妇只能生育一个孩子。,错误
中华人民共和国的一切权力属于中国共产党。,错误
我国的国家结构形式是联邦制。,错误
公民在行使自由和权利的时候，无需考虑他人的利益和社会秩序。,错误
在我国，任何公民都享有相同的权利，履行相同的义务。,错误
我国的最高国家权力机关是全国人民代表大会。,正确
社会主义制度是我国的基本经济制度。,错误
宗教信仰自由意味着公民可以在任何场合宣传宗教思想和开展宗教活动。,错误
宪法规定的公民基本权利和自由都是绝对的，不受任何限制。,错误
人民代表大会制度实行民主集中制的组织和活动原则，即少数服从多数。,错误
中华人民共和国的一切权力属于人民。,正确
我国的国家结构形式是联邦制。,错误
公民在行使自由和权利的时候，无需考虑他人的利益和社会秩序。,错误
在我国，任何公民都享有相同的权利，履行相同的义务。,错误
我国实行计划生育的基本国策，即一对夫妇只能生育一个孩子。,错误